"RK_name","RK_PK","RK_TM","RK_Player","RK_College","RK_Yrs","RK_G","RK_MP","RK_PTS","RK_TRB","RK_AST","RK_FG","RK__3P","RK_FT","RK_MP2","RK_PTS2","RK_TRB2","RK_AST2","RK_WS","RK_WS_48","RK_BPM","RK_VORP"
"1","1","CLE","Andrew Wiggins","Kansas","6","454","16242","8943","1977","1065",".441",".332",".732","35.8","19.7","4.4","2.3","15.0",".044","-1.9","0.2"
"2","2","MIL","Jabari Parker","Duke","6","285","8258","4255","1633","593",".493",".324",".740","29.0","14.9","5.7","2.1","13.2",".077","-0.8","2.4"
"3","3","PHI","Joel Embiid","Kansas","4","209","6358","5005","2397","651",".480",".319",".793","30.4","23.9","11.5","3.1","22.8",".172","4.3","10.1"
"4","4","ORL","Aaron Gordon","Arizona","6","403","11517","5143","2587","964",".448",".319",".701","28.6","12.8","6.4","2.4","21.7",".090","0.0","5.7"
"5","5","UTA","Dante Exum","","5","239","4429","1366","424","502",".407",".308",".766","18.5","5.7","1.8","2.1","3.1",".034","-3.3","-1.5"
"6","6","BOS","Marcus Smart","Oklahoma State","6","401","11607","3950","1430","1628",".373",".318",".775","28.9","9.9","3.6","4.1","20.7",".086","-0.3","5.0"
"7","7","LAL","Julius Randle","Kentucky","6","375","10934","6032","3375","1045",".493",".295",".724","29.2","16.1","9.0","2.8","20.5",".090","-0.5","4.1"
"8","8","SAC","Nik Stauskas","Michigan","5","335","6662","2272","688","513",".389",".353",".814","19.9","6.8","2.1","1.5","3.8",".028","-3.0","-1.7"
"9","9","CHH","Noah Vonleh","Indiana","6","335","5672","1660","1741","256",".460",".310",".691","16.9","5.0","5.2","0.8","9.3",".079","-2.4","-0.5"
"10","10","PHI","Elfrid Payton","LA-Lafayette","6","387","11350","4247","1703","2566",".452",".289",".625","29.3","11.0","4.4","6.6","14.9",".063","-0.5","4.3"
"11","11","DEN","Doug McDermott","Creighton","6","410","8170","3369","900","347",".465",".412",".825","19.9","8.2","2.2","0.8","13.9",".082","-2.0","-0.1"
"12","12","ORL","Dario Šarić","","4","306","8094","3743","1896","634",".441",".358",".837","26.5","12.2","6.2","2.1","14.7",".087","-0.7","2.6"
"13","13","MIN","Zach LaVine","UCLA","6","353","10857","6240","1279","1275",".447",".375",".819","30.8","17.7","3.6","3.6","12.0",".053","-0.6","3.8"
"14","14","PHO","T.J. Warren","NC State","6","328","9436","5080","1358","392",".507",".361",".779","28.8","15.5","4.1","1.2","19.5",".099","-0.2","4.3"
"15","15","ATL","Adreian Payne","Michigan State","4","107","1403","429","315","66",".406",".254",".680","13.1","4.0","2.9","0.6","-0.6","-.019","-5.9","-1.4"
"16","16","CHI","Jusuf Nurkić","","6","318","7356","3749","2562","621",".492",".096",".673","23.1","11.8","8.1","2.0","17.3",".113","0.3","4.2"
"17","17","BOS","James Young","Kentucky","4","95","812","219","96","28",".367",".277",".563","8.5","2.3","1.0","0.3","0.8",".046","-3.4","-0.3"
"18","18","PHO","Tyler Ennis","Syracuse","4","186","2336","779","250","359",".419",".317",".768","12.6","4.2","1.3","1.9","1.3",".026","-3.4","-0.8"
"19","19","CHI","Gary Harris","Michigan State","6","368","10663","4459","961","779",".454",".360",".803","29.0","12.1","2.6","2.1","17.9",".081","-0.9","2.9"
"20","20","TOR","Bruno Caboclo","","6","99","1257","425","254","71",".400",".316",".846","12.7","4.3","2.6","0.7","1.5",".058","-2.5","-0.2"
"21","21","OKC","Mitch McGary","Michigan","2","52","557","227","183","17",".527",".000",".580","10.7","4.4","3.5","0.3","1.3",".108","-2.6","-0.1"
"22","22","MEM","Jordan Adams","UCLA","2","32","263","101","30","19",".402",".385",".607","8.2","3.2","0.9","0.6","0.4",".070","1.7","0.2"
"23","23","UTA","Rodney Hood","Duke","6","341","9326","4247","980","645",".426",".372",".839","27.3","12.5","2.9","1.9","17.1",".088","-0.5","3.4"
"24","24","CHH","Shabazz Napier","UConn","6","345","5986","2433","657","849",".397",".345",".815","17.4","7.1","1.9","2.5","8.1",".065","-0.7","2.0"
"25","25","HOU","Clint Capela","","6","334","8674","4075","3243","324",".634",".000",".526","26.0","12.2","9.7","1.0","36.4",".201","1.9","8.5"
"26","26","MIA","P.J. Hairston","UNC","2","111","2000","664","266","59",".343",".295",".810","18.0","6.0","2.4","0.5","0.9",".021","-3.9","-1.0"
"27","27","PHO","Bogdan Bogdanović","","3","209","5888","2831","673","732",".434",".374",".806","28.2","13.5","3.2","3.5","8.7",".071","-0.6","2.2"
"28","28","LAC","C.J. Wilcox","Washington","3","66","376","132","31","30",".370",".333",".813","5.7","2.0","0.5","0.5","0.1",".007","-4.3","-0.2"
"29","29","OKC","Josh Huestis","Stanford","3","76","1068","187","180","23",".346",".312",".240","14.1","2.5","2.4","0.3","0.7",".030","-3.5","-0.4"
"30","30","SAS","Kyle Anderson","UCLA","6","367","7212","1991","1456","734",".488",".311",".699","19.7","5.4","4.0","2.0","17.9",".119","1.4","6.3"
"31","31","MIL","Damien Inglis","","1","20","156","36","31","10",".351",".231",".875","7.8","1.8","1.6","0.5","-0.1","-.024","-5.6","-0.1"
"32","32","PHI","K.J. McDaniels","Clemson","3","148","2092","782","324","95",".412",".290",".776","14.1","5.3","2.2","0.6","1.3",".030","-2.8","-0.4"
"33","33","CLE","Joe Harris","Virginia","6","331","8037","3452","1040","535",".479",".426",".779","24.3","10.4","3.1","1.6","14.7",".088","-0.7","2.5"
"34","34","NYK","Cleanthony Early","Wichita State","2","56","801","241","123","42",".346",".263",".750","14.3","4.3","2.2","0.8","-0.6","-.039","-5.9","-0.8"
"35","35","UTA","Jarnell Stokes","Tennessee","3","28","151","67","40","7",".581","",".531","5.4","2.4","1.4","0.3","0.6",".202","0.1","0.1"
"36","36","MIL","Johnny O'Bryant","LSU","4","147","1684","509","352","69",".402",".360",".663","11.5","3.5","2.4","0.5","0.2",".006","-6.2","-1.8"
"37","37","TOR","DeAndre Daniels","UConn","","","","","","","","","","","","","","","","",""
"38","38","DET","Spencer Dinwiddie","Colorado","6","317","8162","4103","875","1578",".410",".318",".793","25.7","12.9","2.8","5.0","18.3",".108","0.4","4.8"
"39","39","PHI","Jerami Grant","Syracuse","6","454","11125","4220","1748","484",".465",".347",".669","24.5","9.3","3.9","1.1","22.6",".098","-0.9","3.1"
"40","40","MIN","Glenn Robinson","Michigan","6","281","4930","1683","731","218",".459",".373",".768","17.5","6.0","2.6","0.8","7.6",".074","-1.5","0.6"
"41","41","DEN","Nikola Jokić","","5","381","11054","6462","3657","2098",".524",".338",".826","29.0","17.0","9.6","5.5","48.7",".212","7.1","25.4"
"42","42","HOU","Nick Johnson","Arizona","1","28","262","74","39","11",".347",".238",".680","9.4","2.6","1.4","0.4","-0.1","-.020","-6.5","-0.3"
"43","43","ATL","Edy Tavares","","2","13","101","33","32","4",".625","",".273","7.8","2.5","2.5","0.3","0.2",".118","-0.4","0.0"
"44","44","MIN","Markel Brown","Oklahoma State","3","113","1794","584","234","132",".380",".295",".781","15.9","5.2","2.1","1.2","1.1",".029","-2.9","-0.4"
"45","45","CHH","Dwight Powell","Stanford","6","371","6956","2867","1711","364",".563",".293",".739","18.7","7.7","4.6","1.0","26.0",".179","1.4","6.1"
"46","46","WAS","Jordan Clarkson","Missouri","6","453","12232","6699","1424","1164",".446",".342",".818","27.0","14.8","3.1","2.6","13.9",".055","-0.7","3.9"
"47","47","PHI","Russ Smith","Louisville","2","27","131","53","15","19",".319",".188",".769","4.9","2.0","0.6","0.7","-0.2","-.068","-5.1","-0.1"
"48","48","MIL","Lamar Patterson","Pitt","2","40","435","93","57","45",".326",".236",".720","10.9","2.3","1.4","1.1","0.1",".006","-5.7","-0.4"
"49","49","CHI","Cameron Bairstow","New Mexico","2","36","167","44","36","7",".296",".200",".846","4.6","1.2","1.0","0.2","-0.1","-.021","-8.1","-0.3"
"50","50","PHO","Alec Brown","Green Bay","","","","","","","","","","","","","","","","",""
"51","51","NYK","Thanasis Antetokounmpo","","2","22","135","61","25","15",".519",".000",".412","6.1","2.8","1.1","0.7","0.2",".080","-2.8","0.0"
"52","52","PHI","Vasilije Micić","","","","","","","","","","","","","","","","","",""
"53","53","MIN","Alessandro Gentile","","","","","","","","","","","","","","","","","",""
"54","54","PHI","Nemanja Dangubić","","","","","","","","","","","","","","","","","",""
"55","55","MIA","Semaj Christon","Xavier","1","64","973","183","87","130",".345",".190",".548","15.2","2.9","1.4","2.0","0.1",".006","-5.1","-0.8"
"56","56","DEN","Devyn Marble","Iowa","2","44","457","97","69","29",".304",".222",".375","10.4","2.2","1.6","0.7","-0.3","-.028","-5.5","-0.4"
"57","57","IND","Louis Labeyrie","","","","","","","","","","","","","","","","","",""
"58","58","SAS","Jordan McRae","Tennessee","4","123","1696","846","225","167",".417",".355",".772","13.8","6.9","1.8","1.4","1.7",".048","-2.1","0.0"
"59","59","TOR","Xavier Thames","San Diego State","","","","","","","","","","","","","","","","",""
"60","60","SAS","Cory Jefferson","Baylor","2","58","581","205","161","16",".444",".125",".583","10.0","3.5","2.8","0.3","0.9",".071","-3.3","-0.2"
"1","1","MIN","Karl-Anthony Towns","Kentucky","5","358","12307","8113","4209","992",".534",".396",".831","34.4","22.7","11.8","2.8","50.4",".197","4.8","21.1"
"2","2","LAL","D'Angelo Russell","Ohio State","5","317","9204","5532","1176","1666",".420",".356",".772","29.0","17.5","3.7","5.3","8.4",".044","0.3","5.5"
"3","3","PHI","Jahlil Okafor","Duke","5","220","4480","2421","1103","212",".538",".222",".675","20.4","11.0","5.0","1.0","6.6",".070","-1.9","0.1"
"4","4","NYK","Kristaps Porziņģis","","4","243","7578","4476","1857","350",".434",".358",".803","31.2","18.4","7.6","1.4","17.3",".109","1.2","6.0"
"5","5","ORL","Mario Hezonja","","5","330","6107","2284","1026","415",".417",".319",".812","18.5","6.9","3.1","1.3","3.2",".025","-2.8","-1.2"
"6","6","SAC","Willie Cauley-Stein","Kentucky","5","349","8187","3361","2194","553",".539",".211",".611","23.5","9.6","6.3","1.6","20.3",".119","0.1","4.3"
"7","7","DEN","Emmanuel Mudiay","","5","300","7176","3296","884","1139",".401",".323",".744","23.9","11.0","2.9","3.8","-0.2","-.001","-3.2","-2.2"
"8","8","DET","Stanley Johnson","Arizona","5","310","6310","2045","1001","443",".374",".293",".755","20.4","6.6","3.2","1.4","3.4",".026","-2.9","-1.4"
"9","9","CHO","Frank Kaminsky","Wisconsin","5","321","7029","3136","1298","527",".422",".347",".750","21.9","9.8","4.0","1.6","12.4",".085","-0.6","2.5"
"10","10","MIA","Justise Winslow","Duke","5","241","6848","2181","1295","657",".417",".337",".646","28.4","9.0","5.4","2.7","7.7",".054","-1.8","0.3"
"11","11","IND","Myles Turner","Texas","5","342","9689","4353","2276","421",".488",".357",".768","28.3","12.7","6.7","1.2","26.4",".131","0.6","6.3"
"12","12","UTA","Trey Lyles","Kentucky","5","351","6322","2602","1488","375",".433",".341",".708","18.0","7.4","4.2","1.1","10.3",".078","-1.2","1.3"
"13","13","PHO","Devin Booker","Kentucky","5","342","11457","7683","1242","1610",".448",".354",".871","33.5","22.5","3.6","4.7","17.3",".073","-0.2","5.3"
"14","14","OKC","Cameron Payne","Murray State","5","161","2637","1001","305","406",".403",".344",".781","16.4","6.2","1.9","2.5","2.7",".049","-2.0","0.0"
"15","15","ATL","Kelly Oubre","Kansas","5","348","8375","3783","1443","327",".431",".329",".778","24.1","10.9","4.1","0.9","12.1",".069","-1.9","0.2"
"16","16","BOS","Terry Rozier","Louisville","5","335","7597","3224","1249","890",".394",".371",".813","22.7","9.6","3.7","2.7","12.9",".082","-0.1","3.6"
"17","17","MIL","Rashad Vaughn","UNLV","3","139","1671","423","158","75",".337",".313",".692","12.0","3.0","1.1","0.5","-0.6","-.017","-4.7","-1.2"
"18","18","HOU","Sam Dekker","Wisconsin","4","200","3096","1094","607","160",".478",".288",".606","15.5","5.5","3.0","0.8","5.4",".083","-1.4","0.5"
"19","19","WAS","Jerian Grant","Notre Dame","5","279","4998","1692","530","805",".411",".323",".770","17.9","6.1","1.9","2.9","8.3",".080","-1.6","0.5"
"20","20","TOR","Delon Wright","Utah","5","271","5377","1965","829","780",".450",".342",".790","19.8","7.3","3.1","2.9","14.9",".133","2.1","5.5"
"21","21","DAL","Justin Anderson","Virginia","5","226","2964","1182","575","151",".413",".296",".774","13.1","5.2","2.5","0.7","4.6",".074","-1.4","0.5"
"22","22","CHI","Bobby Portis","Arkansas","5","315","6437","3215","1872","380",".456",".360",".754","20.4","10.2","5.9","1.2","10.8",".081","-1.3","1.1"
"23","23","POR","Rondae Hollis-Jefferson","Arizona","5","294","6652","2733","1658","566",".448",".213",".738","22.6","9.3","5.6","1.9","12.5",".090","-0.7","2.2"
"24","24","CLE","Tyus Jones","Duke","5","312","5606","1733","483","1108",".431",".345",".803","18.0","5.6","1.5","3.6","11.4",".098","0.0","2.8"
"25","25","MEM","Jarell Martin","LSU","4","184","2927","998","639","114",".434",".346",".766","15.9","5.4","3.5","0.6","3.2",".053","-4.3","-1.7"
"26","26","SAS","Nikola Milutinov","","","","","","","","","","","","","","","","","",""
"27","27","LAL","Larry Nance","Wyoming","5","315","7396","2562","2094","559",".537",".324",".695","23.5","8.1","6.6","1.8","20.4",".132","1.2","6.1"
"28","28","BOS","R.J. Hunter","Georgia State University","4","45","395","133","46","19",".371",".295",".818","8.8","3.0","1.0","0.4","0.4",".051","-2.0","0.0"
"29","29","BRK","Chris McCullough","Syracuse","3","59","532","194","112","15",".426",".306",".548","9.0","3.3","1.9","0.3","0.6",".054","-2.5","-0.1"
"30","30","GSW","Kevon Looney","UCLA","5","224","3121","979","832","214",".570",".150",".601","13.9","4.4","3.7","1.0","10.3",".158","-0.5","1.1"
"31","31","MIN","Cedi Osman","","3","202","5026","1947","708","390",".437",".364",".717","24.9","9.6","3.5","1.9","4.0",".038","-2.9","-1.2"
"32","32","HOU","Montrezl Harrell","Louisville","5","318","6643","4037","1570","424",".614",".100",".638","20.9","12.7","4.9","1.3","26.1",".189","2.6","7.7"
"33","33","BOS","Jordan Mickey","LSU","3","64","482","152","128","17",".449",".118",".605","7.5","2.4","2.0","0.3","0.5",".050","-4.8","-0.3"
"34","34","LAL","Anthony Brown","Stanford","3","41","762","161","103","28",".328",".286",".850","18.6","3.9","2.5","0.7","-0.2","-.016","-5.1","-0.6"
"35","35","PHI","Willy Hernangómez","","4","209","3006","1444","1130","218",".531",".330",".687","14.4","6.9","5.4","1.0","8.6",".137","0.1","1.6"
"36","36","MIN","Rakeem Christmas","Syracuse","2","30","225","63","57","4",".467","",".724","7.5","2.1","1.9","0.1","0.5",".105","-4.7","-0.2"
"37","37","PHI","Richaun Holmes","Bowling Green","5","270","5067","2268","1346","254",".583",".257",".724","18.8","8.4","5.0","0.9","17.3",".164","0.6","3.2"
"38","38","DET","Darrun Hilliard","Villanova","3","91","859","295","85","71",".377",".304",".747","9.4","3.2","0.9","0.8","0.3",".016","-4.7","-0.6"
"39","39","CHO","Juan Pablo Vaulet","","","","","","","","","","","","","","","","","",""
"40","40","MIA","Josh Richardson","Tennessee","5","314","9642","3889","997","904",".426",".363",".818","30.7","12.4","3.2","2.9","17.9",".089","-0.3","4.2"
"41","41","BRK","Pat Connaughton","Notre Dame","5","283","4451","1356","787","358",".443",".344",".790","15.7","4.8","2.8","1.3","10.1",".109","-0.4","1.8"
"42","42","UTA","Olivier Hanlan","Boston College","","","","","","","","","","","","","","","","",""
"43","43","IND","Joe Young","Oregon","3","127","1077","429","130","119",".393",".296",".768","8.5","3.4","1.0","0.9","0.4",".016","-4.1","-0.6"
"44","44","PHO","Andrew Harrison","Kentucky","3","145","2987","1012","287","399",".373",".294",".779","20.6","7.0","2.0","2.8","3.2",".051","-2.8","-0.6"
"45","45","BOS","Marcus Thornton","William & Mary","","","","","","","","","","","","","","","","",""
"46","46","MIL","Norman Powell","UCLA","5","307","5760","2640","728","400",".457",".361",".818","18.8","8.6","2.4","1.3","12.0",".100","-0.3","2.5"
"47","47","PHI","Artūras Gudaitis","","","","","","","","","","","","","","","","","",""
"48","48","OKC","Dakari Johnson","Kentucky","1","31","161","55","34","8",".564","",".550","5.2","1.8","1.1","0.3","0.6",".178","-0.3","0.1"
"49","49","WAS","Aaron White","Iowa","","","","","","","","","","","","","","","","",""
"50","50","ATL","Marcus Eriksson","","","","","","","","","","","","","","","","","",""
"51","51","ORL","Tyler Harvey","Eastern Washington","","","","","","","","","","","","","","","","",""
"52","52","DAL","Satnam Singh Bhamara","","","","","","","","","","","","","","","","","",""
"53","53","CLE","Sir'Dominic Pointer","St. John's","","","","","","","","","","","","","","","","",""
"54","54","UTA","Dani Díez de la Faya","","","","","","","","","","","","","","","","","",""
"55","55","SAS","Cady Lalanne","UMass","","","","","","","","","","","","","","","","",""
"56","56","NOP","Branden Dawson","Michigan State","1","6","29","5","4","0",".400","","1.000","4.8","0.8","0.7","0.0","0.0",".069","-5.7","0.0"
"57","57","DEN","Nikola Radičević","","","","","","","","","","","","","","","","","",""
"58","58","PHI","J.P. Tokoto","UNC","","","","","","","","","","","","","","","","",""
"59","59","ATL","Dimitrios Agravanis","","","","","","","","","","","","","","","","","",""
"60","60","PHI","Luka Mitrović","","","","","","","","","","","","","","","","","",""
"1","1","PHI","Ben Simmons","LSU","3","217","7449","3553","1800","1726",".560",".083",".593","34.3","16.4","8.3","8.0","24.4",".157","3.9","11.2"
